Code	Preferred Term	Synonyms	Definition	Neoplastic Status
C4826	Cerebral Neuroblastoma	"Cerebral Hemispheric Neuroblastoma|Cerebral Neuroblastoma, PNET|Neuroblastoma of Cerebral Hemispheres|Neuroblastoma of Cerebrum|Neuroblastoma of the Cerebral Hemispheres|Neuroblastoma of the Cerebrum"	A neuroblastoma arising from the cerebral hemispheres.	Malignant
C4029	Cervical Adenocarcinoma	Adenocarcinoma of Cervix Uteri|Adenocarcinoma of Cervix|Adenocarcinoma of Uterine Cervix|Adenocarcinoma of the Cervix Uteri|Adenocarcinoma of the Cervix|Adenocarcinoma of the Uterine Cervix|Cervix Adenocarcinoma|Cervix Uteri Adenocarcinoma|Uterine Cervix Adenocarcinoma	"An adenocarcinoma arising from the cervical epithelium. It accounts for approximately 15% of invasive cervical carcinomas. Increased numbers of sexual partners and human papillomavirus (HPV) infection are risk factors. Grossly, advanced cervical adenocarcinoma may present as an exophytic mass, an ulcerated lesion, or diffuse cervical enlargement. Microscopically, the majority of cervical adenocarcinomas are of the endocervical (mucinous) type."	Malignant
C4520	Cervical Adenocarcinoma In Situ	Adenocarcinoma in situ of Cervix Uteri|Adenocarcinoma in situ of Cervix|Adenocarcinoma in situ of Uterine Cervix|Adenocarcinoma in situ of the Cervix Uteri|Adenocarcinoma in situ of the Cervix|Adenocarcinoma in situ of the Uterine Cervix|Cervical Adenocarcinoma In Situ AJCC v7|Cervix Adenocarcinoma in situ|Cervix Uteri Adenocarcinoma in situ|Uterine Cervix Adenocarcinoma in situ	"Stage 0 includes: (Tis, N0, M0). Tis: Carcinoma in situ. N0: No regional lymph node metastasis.  M0: No distant metastasis. FIGO no longer includes stage 0. (AJCC 7th ed.)"	Malignant
C4519	Cervical Adenosquamous Carcinoma	Adenosquamous Cell Carcinoma of Cervix Uteri|Adenosquamous Cell Carcinoma of Cervix|Adenosquamous Cell Carcinoma of Uterine Cervix|Adenosquamous Cell Carcinoma of the Cervix Uteri|Adenosquamous Cell Carcinoma of the Cervix|Adenosquamous Cell Carcinoma of the Uterine Cervix|Cervical Adenosquamous Cell Carcinoma|Cervix Adenosquamous Cell Carcinoma|Cervix Uteri Adenosquamous Cell Carcinoma|Uterine Cervix Adenosquamous Cell Carcinoma	An uncommon carcinoma arising from the cervix.  It is composed of malignant glandular epithelial cells and malignant squamous epithelial cells.	Malignant
C9039	Cervical Carcinoma	Cancer of Cervix|Cancer of Uterine Cervix|Cancer of the Cervix|Cancer of the Uterine Cervix|Carcinoma of Cervix Uteri|Carcinoma of Cervix|Carcinoma of Uterine Cervix|Carcinoma of the Cervix Uteri|Carcinoma of the Cervix|Carcinoma of the Uterine Cervix|Cervical Cancer|Cervical Carcinoma|Cervix Cancer|Cervix Carcinoma|Cervix Uteri Carcinoma|Uterine Cervix Cancer|Uterine Cervix Carcinoma	"A carcinoma arising from either the exocervical squamous epithelium or the endocervical glandular epithelium. The major histologic types of cervical carcinoma are: squamous carcinoma, adenocarcinoma, adenosquamous carcinoma, adenoid cystic carcinoma and undifferentiated carcinoma."	Malignant
C6856	Cervical Microglandular Polyp	Microglandular Polyp of Cervix|Microglandular Polyp of Uterine Cervix|Microglandular Polyp of the Cervix|Microglandular Polyp of the Uterine Cervix|Uterine Cervix Microglandular Polyp	A benign endocervical polypoid epithelial hyperplasia characterized by the presence of tightly packed glandular structures. It is usually seen in women on oral contraceptive therapy and during pregnancy.	Benign
C7982	Cervical Small Cell Carcinoma	Cervix Small Cell Carcinoma|Cervix Uteri Small Cell Carcinoma|Small Cell Carcinoma of Cervix Uteri|Small Cell Carcinoma of Cervix|Small Cell Carcinoma of Uterine Cervix|Small Cell Carcinoma of the Cervix Uteri|Small Cell Carcinoma of the Cervix|Small Cell Carcinoma of the Uterine Cervix|Uterine Cervix Small Cell Carcinoma	A small cell carcinoma arising from the cervix.	Malignant
C4028	Cervical Squamous Cell Carcinoma	Cervical Squamous Cell Carcinoma|Cervix Squamous Cell Carcinoma|Cervix Uteri Squamous Cell Carcinoma|Squamous Cell Carcinoma of Cervix Uteri|Squamous Cell Carcinoma of Cervix|Squamous Cell Carcinoma of Uterine Cervix|Squamous Cell Carcinoma of the Cervix Uteri|Squamous Cell Carcinoma of the Cervix|Squamous Cell Carcinoma of the Uterine Cervix|Uterine Cervix Squamous Cell Carcinoma	"A squamous cell carcinoma arising from the cervical epithelium. It usually evolves from a precancerous cervical lesion. Increased numbers of sexual partners and human papillomavirus (HPV) infection are risk factors for cervical squamous cell carcinoma. The following histologic patterns have been described: Conventional squamous cell carcinoma, papillary squamous cell carcinoma, transitional cell carcinoma, lymphoepithelioma-like carcinoma, verrucous carcinoma, condylomatous carcinoma and spindle cell carcinoma. Survival is most closely related to the stage of disease at the time of diagnosis."	Malignant
C7347	Cervical Squamous Cell Carcinoma In Situ	Cervical Squamous Cell Carcinoma In Situ AJCC v7|Cervical Squamous Intraepithelial Neoplasia 3|Cervix Squamous Cell Carcinoma In Situ|Cervix Uteri Squamous Cell Carcinoma In Situ|Severe Squamous Dysplasia of the Cervix|Squamous Cell Carcinoma In Situ of Cervix Uteri|Squamous Cell Carcinoma In Situ of Cervix|Squamous Cell Carcinoma In Situ of Uterine Cervix|Squamous Cell Carcinoma In Situ of the Cervix Uteri|Squamous Cell Carcinoma In Situ of the Cervix|Squamous Cell Carcinoma In Situ of the Uterine Cervix|Uterine Cervix Squamous Cell Carcinoma In Situ	"Stage 0 includes: (Tis, N0, M0). Tis: Carcinoma in situ. N0: No regional lymph node metastasis.  M0: No distant metastasis. FIGO no longer includes stage 0. (AJCC 7th ed.)"	Malignant
C80691	Chemotherapy-Related Leukemia		A leukemia arising as a result of the mutagenic effect of chemotherapy agents that are used for the treatment of a malignant tumor.	Malignant
C44960	Chlamydia Psittaci-Associated Ocular Adnexal Mucosa-Associated Lymphoid Tissue Lymphoma			Malignant
C4436	Cholangiocarcinoma	Cholangiocarcinoma	"A carcinoma that arises from the intrahepatic biliary tree (intrahepatic cholangiocarcinoma) or from the junction, or adjacent to the junction, of the right and left hepatic ducts (hilar cholangiocarcinoma). Grossly, the malignant lesions are solid, nodular, and grayish. Morphologically, the vast majority of cases are adenocarcinomas. Signs and symptoms include malaise, weight loss, right upper quadrant abdominal pain, and night sweats. Early detection is difficult and the prognosis is generally poor."	Malignant
C4021	Chondroblastic Osteosarcoma	Chondroblastic Osteogenic Sarcoma	An osteosarcoma characterised by the presence of atypical cartilage of variable cellularity.  It may or may not be associated with the presence of myxoid areas or focal bone formation.	Malignant
C2945	Chondroblastoma		"A benign, chondroid-producing, well-circumscribed, lytic neoplasm usually arising from the epiphysis of long bones.  It is characterized by the presence of chondroblasts, osteoclast-like giant cells, chondroid formation, calcification, and mitotic activity. In aggressive cases, there is rearrangement of the 8q21 chromosome band.  It occurs most frequently in children and young adults and rarely metastasizes."	Benign
C6902	Chondroid Chordoma		"A slow-growing malignant bone tumor arising from the remnants of the notochord and occurring in the base of the skull. The tumor is characterized by a lobulated growth pattern, myxoid stroma formation, and the presence of physaliphorous cells and cartilage."	Malignant
C53459	Chondroma		A benign well circumscribed neoplasm of hyaline cartilage arising from bone or soft tissue. It is characterized by the presence of chondrocytes.	Benign
C2946	Chondrosarcoma		"A malignant cartilaginous matrix-producing mesenchymal neoplasm arising from the bone and soft tissue.  It usually affects middle-aged to elderly adults.  The pelvic bones, ribs, shoulder girdle, and long bones are the most common sites of involvement.  Most chondrosarcomas arise de novo, but some may develop in a preexisting benign cartilaginous lesion."	Malignant
C6908	Chordoid Meningioma	Chordoid Meningioma	"A WHO grade II, usually recurring meningioma characterized by the predominance of tissues that are histologically similar to chordoma."	Undetermined
C2947	Chordoma		"A malignant bone tumor arising from the remnants of the fetal notochord. Although it can occur at all ages, it is more frequently seen in middle-aged adults. The most frequent sites of involvement are the sacrococcygeal area, spheno-occipital area, and cervico-thoraco-lumbar spine. Microscopically, chordomas are composed of cells that form cords and lobules, separated by mucoid intercellular tissue. Some of the cells are large (physaliphorous) and have vacuolated cytoplasm and prominent vesicular nuclei. Other tumor cells are small with small nuclei without visible nucleoli. Chordomas tend to recur and may metastasize. The most common sites of metastasis are the skin and bone."	Malignant
C2948	Choriocarcinoma	Choriocarcinoma|Chorioepithelioma	An aggressive malignant tumor arising from trophoblastic cells. The vast majority of cases arise in the uterus and represent gestational choriocarcinomas that derive from placental trophoblastic cells. Approximately half of the cases develop from a complete hydatidiform mole. A minority of cases arise in the testis or the ovaries. There is often marked elevation of human chorionic gonadotropin (hCG) in the blood. Choriocarcinomas disseminate rapidly through the hematogenous route; the lungs are most frequently affected.	Malignant
C4715	Choroid Plexus Carcinoma	Cancer of Choroid Plexus|Cancer of the Choroid Plexus|Carcinoma of Choroid Plexus|Carcinoma of the Choroid Plexus|Choroid Plexus Cancer|Choroid Plexus Carcinoma	A malignant neoplasm arising from the choroid plexus.  It shows anaplastic features and usually invades neighboring brain structures. Cerebrospinal fluid metastases are frequent. (Adapted from WHO)	Malignant
C4146	Chromophobe Renal Cell Carcinoma	"Chromophobe Adenocarcinoma|Chromophobe Carcinoma of Kidney|Chromophobe Carcinoma of the Kidney|Chromophobe Carcinoma|Chromophobe Cell Carcinoma of Kidney|Chromophobe Cell Carcinoma of the Kidney|Chromophobe Renal Cell Carcinoma|Renal Cell Carcinoma, Chromophobe Type"	"A type of carcinoma that comprises a minority of renal cell carcinomas.  It is characterized by loss of chromosomes 1 and Y.  Based on the cytoplasmic characteristics of the neoplastic cells, this type of carcinoma is classified as classic (typical) or eosinophilic.  It has a much better prognosis than other renal cell carcinomas."	Malignant
C4563	"Chronic Eosinophilic Leukemia, Not Otherwise Specified"	"Chronic Eosinophilic Leukemia, NOS|Chronic Eosinophilic Leukemia, Not Otherwise Specified|Chronic Eosinophilic Leukemia|Eosinophilic Leukemia"	"A rare myeloproliferative neoplasm characterized by a clonal proliferation of eosinophilic precursors resulting in persistently increased numbers of eosinophils in the blood, marrow and peripheral tissues.  Since acute eosinophilic leukemia is at best exceedingly rare, the term eosinophilic leukemia is normally used as a synonym for chronic eosinophilic leukemia.  In cases in which it is impossible to prove clonality and there is no increase in blast cells, the diagnosis of ""idiopathic hypereosinophilic syndrome"" is preferred.  (WHO, 2001)"	Malignant
C3163	Chronic Lymphocytic Leukemia	B Cell CLL|B Cell Chronic Lymphocytic Leukemia|B Cell Lymphocytic Leukemia|B-Cell CLL|B-Cell Chronic Lymphocytic Leukemia|B-Cell Chronic Lymphogenous Leukemia|B-Cell Chronic Lymphoid Leukemia|B-Cell Lymphocytic Leukemia|Chronic B-Cell Lymphocytic Leukemia|Chronic Lymphatic Leukemia|Chronic Lymphogenous Leukemia|Hematopoeitic - Chronic Lymphocytic Leukemia (CLL)	"The most common type of chronic lymphoid leukemia.  It comprises 90% of chronic lymphoid leukemias in the United States.  Morphologically, the neoplastic cells are small, round B-lymphocytes.  This type of leukemia is not considered to be curable with available therapy. (WHO, 2001)"	Malignant
C37202	Chronic Lymphocytic Leukemia with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation	Postgerminal Center Chronic Lymphocytic Leukemia		Malignant
C36272	Chronic Lymphocytic Leukemia with Plasmacytoid Differentiation			Malignant
C37205	Chronic Lymphocytic Leukemia with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene	Pregerminal Center Chronic Lymphocytic Leukemia		Malignant
C27911	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	"An indolent, mature B-cell neoplasm composed of small, round B-lymphocytes. When the bone marrow and peripheral blood are involved, the term chronic lymphocytic leukemia is used. The term small lymphocytic lymphoma is restricted to cases which do not show leukemic involvement of the bone marrow and peripheral blood."	Malignant
C37201	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation	Postgerminal Center Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	"A recently recognized variant of chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL) expressing somatic hypermutations of the Immunoglobulin heavy chain (IGH) genes.  The recognition of this variant alters the belief that CLL/SLL is always derived from a naive, pregerminal center B-cell.  The presence of somatic hypermutations of IGH genes occurs in approximately 50% of CLL/SLL cases and implies a postgerminal center, memory origin.  Patients with this variant of CLL/SLL have a favorable prognosis, with a reported median survival of more than 24 years. -- 2004"	Malignant
