?concentration_phenotype	?label	?definition	?parents
<http://purl.obolibrary.org/obo/HP_0100529>	"Abnormal blood phosphate concentration"	"An abnormality of phosphate homeostasis or concentration in the body."	"Abnormal blood ion concentration"
<http://purl.obolibrary.org/obo/HP_0005547>	"Myeloproliferative disorder"	"Proliferation (excess production) of hemopoietically active tissue or of tissue which has embryonic hemopoietic potential."	"Leukemia"
<http://purl.obolibrary.org/obo/HP_0034661>	"Elevated urine 3-hydroxypropionic acid level"	"Amount of 3-hydroxypropionic acid in the urine above the upper limit of normal."	"Monocarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0003513>	"Reduced ratio of renal calcium clearance to creatinine clearance"	"A reduction of the ratio of renal calcium clearance to creatinine clearance to below 0.01."	"Abnormality of urine calcium concentration"
<http://purl.obolibrary.org/obo/HP_0004923>	"Hyperphenylalaninemia"	"An increased concentration of L-phenylalanine in the blood."	"Abnormal circulating phenylalanine concentration"
<http://purl.obolibrary.org/obo/HP_0012606>	"Renal sodium wasting"	"An abnormally increased sodium concentration in the urine in the presence of hyponatremia."	"Abnormal urine sodium concentration"
<http://purl.obolibrary.org/obo/HP_0500250>	"Increased circulating ethanolamine concentration"@en	"Abnormally increased levels of ethanolamine in circulation."	"Abnormal circulating ethanolamine concentration"
<http://purl.obolibrary.org/obo/HP_0025338>	"Circumlimbal hyperemia"@en	"A ring of redness at the limbus of the eye, the border between the cornea and the sclera."	"Conjunctival hyperemia"
<http://purl.obolibrary.org/obo/HP_0034448>	"Abnormal phytanic acid:pristanic acid ratio"	"Any deviation from the normal ratio of blood phytanic acid concentration to pristanic acid concentration."	"Abnormal circulating long-chain fatty-acid concentration"
<http://purl.obolibrary.org/obo/HP_0012416>	"Hypercapnia"	"Abnormally elevated blood carbon dioxide (CO2) level."	"Abnormal blood carbon dioxide level"
<http://purl.obolibrary.org/obo/HP_0002909>	"Generalized aminoaciduria"	"An increased concentration of all types of amino acid in the urine."	"Aminoaciduria"
<http://purl.obolibrary.org/obo/HP_0040419>	"Elevated urine guanidinoacetic acid level"	"The concentration of guanidinoacetic acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urine guanidinoacetic acid level"
<http://purl.obolibrary.org/obo/HP_0040208>	"Elevated CSF biopterin level"	"Concentration of biopterin in the cerebrospinal fluid (CSF) above the upper limit of normal."	"Abnormal CSF biopterin concentration"
<http://purl.obolibrary.org/obo/HP_0031185>	"Increased circulating NT-proBNP concentration"	"An elevated level of circulating N-terminal part of the prohormone of B-type natriuretic peptide (BNP)."	"Abnormal B-type natriuretic peptide concentration"
<http://purl.obolibrary.org/obo/HP_0004338>	"Abnormal circulating aromatic amino acid concentration"	"Any deviation from the normal concentration of a aromatic amino acid in the blood circulation."	"Abnormal circulating proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0031901>	"Elevated total serum tryptase"	"An abnormally elevated concentration of total tryptase (alpha and beta tryptase) in the blood circulation."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_6000447>	"Decreased CSF asialotransferrin to transferrin ratio"	"The concentration of asialotransferrin relative to that of transferrin in the cerebrospinal fluid (CSF) is below the lower limit of normal."	"Abnormal CSF protein concentration"
<http://purl.obolibrary.org/obo/HP_0034464>	"Homocitrullinuria"	"An increased amount of L-homocitrulline in the urine. L-homocitrulline is an L-lysine derivative that is L-lysine having a carbamoyl group at the N(6)-position. It is found in individuals with urea cycle disorders."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0034706>	"Reduced hepatic D-glycerate kinase activity"	"Activity of D-glycerate kinase in the liver below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0033077>	"Increased circulating free T4 concentration"	"An elevated concentration of free thyroxine (fT4) in the blood circulation."	"Abnormal circulating free T4 concentration"
<http://purl.obolibrary.org/obo/HP_0033440>	"Elevated circulating octenoylcarnitine concentration"	"Concentration of octenoylcarnitine in the blood circulation above the upper limit of normal."	"Elevated circulating medium-chain acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0035015>	"Elevated circulating short-chain acylcarnitine concentration"	"Concentration of short-chain acylcarnitine in the blood circulation above the upper limit of normal. Acylcarnitines are classified according to the number of carbon atoms in the acyl-chain. Short chain acylcarnitines have between two and five carbon atoms in the acyl-chain (C2-C5),"	"Elevated circulating acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0025458>	"Decreased CSF albumin concentration"@en	"CSF albumin level is below the lower limit of normal."	"Abnormal CSF albumin concentration"
<http://purl.obolibrary.org/obo/HP_0033597>	"Decreased mucosal sucrase-isomaltase activity"	"Reduced activity of the linked disaccharidase, sucrase-isomaltase, which is a glycoprotein localized to the brush border membrane of small intestinal villi."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0011422>	"Abnormal blood chloride concentration"	"An abnormality of chloride homeostasis or concentration in the body."	"Abnormal blood ion concentration"
<http://purl.obolibrary.org/obo/HP_0003131>	"Cystinuria"	"An increased concentration of cystine in the urine."	"Increased sulfur amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_0034902>	"Abnormal circulating calcitonin concentration"	"Concentration of calcitonin, a 32-amino acid polypeptide hormone that is produced primarily by the parafollicular cells of the thyroid, in the blood circulation outside of normal limits."	"Abnormal circulating calcium-phosphate regulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0008336>	"Complex organic aciduria"		"Organic aciduria"
<http://purl.obolibrary.org/obo/HP_0034465>	"2-hydroxyadipic aciduria"	"The concentration of 2-hydroxyadipic acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0500241>	"Abnormal CSF homocarnosine concentration"@en	"Any deviation from the normal concentration of homocarnosine in the cerebrospinal fluid."	"Abnormal CSF amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0008732>	"Renal hypophosphatemia"	"Renal hypophosphatemia is defined as reduced serum phosphate (e.g., below 0.70 mmol/l) and an inappropriately high renal phosphate excretion."	"Hypophosphatemia"
<http://purl.obolibrary.org/obo/HP_0011997>	"Postprandial hyperlactemia"	"Abnormally increased level of blood lactate following a meal."	"Increased circulating lactate concentration"
<http://purl.obolibrary.org/obo/HP_0034655>	"Elevated urine glutaconic acid level"	"The concentration of glutaconic acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0010681>	"Elevated intestinal alkaline phosphatase"	"An abnormally increased level of alkaline phosphatase, intestinal type in the blood."	"Elevated circulating alkaline phosphatase concentration"
<http://purl.obolibrary.org/obo/HP_0004354>	"Abnormal circulating carboxylic acid concentration"	"Any deviation from the normal concentration of a carboxylic acid in the blood circulation."	"Abnormal circulating organic compound concentration"
<http://purl.obolibrary.org/obo/HP_0011279>	"Abnormality of urine bicarbonate level"	"An abnormal amount of hydrogencarbonate in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0003637>	"Reduced 4-Hydroxyphenylpyruvate dioxygenase level"	"An abnormal reduction in 4-hydroxyphenylpyruvate dioxygenase level."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0032397>	"Citrullinuria"	"An increased concentration of citrulline in the urine."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0012217>	"Increased urinary porphobilinogen"	"The concentration of porphobilinogen in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0410197>	"Increased uridine diphosphate glucose-4-epimerase level in red blood cells"	"An increase in uridine diphosphate glucose-4-epimerase level in red blood cells. Uridine diphosphate glucose-4-epimerase catalyzes the reaction: UDP-glucose = UDP-galactose."	"Abnormal uridine diphosphate glucose-4-epimerase level in red blood cells"
<http://purl.obolibrary.org/obo/HP_0005522>	"Pyridoxine-responsive sideroblastic anemia"	"A type of sideroblastic anemia that is alleviated by pyridoxine (vitamin B-6) treatment."	"Sideroblastic anemia"
<http://purl.obolibrary.org/obo/HP_0012558>	"Abnormal T3/T4 ratio"	"A ratio of serum triiodothyronine (T3) to thyroxine (T4) in the blood that deviates from normal."	"Abnormal circulating thyroid hormone concentration"
<http://purl.obolibrary.org/obo/HP_0034602>	"Decreased circulating apolipoprotein A-II concentration"	"Concentration of apolipoprotein A-II below the lower limit of normal."	"Decreased circulating apolipoprotein concentration"
<http://purl.obolibrary.org/obo/HP_0045042>	"Decreased circulating complement C4 concentration"	"Concentration of the complement component C4 in the blood circulation below the lower limit of normal."	"Reduced circulating complement concentration"
<http://purl.obolibrary.org/obo/HP_0032193>	"Decreased low-density lipoprotein particle size"	"An abnormal decrease in the average size of low-density lipoprotein particle size in the blood circulation."	"Abnormal circulating cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0034790>	"Abnormal muscle succinate dehydrogenase staining"	"Any deviation from the normal amount of staining of succinate dehydrogenase in skeletal muscle tissue."	"Abnormal muscle tissue enzyme activity or level"
<http://purl.obolibrary.org/obo/HP_0410053>	"Elevated circulating gamma-aminobutyric acid concentration"	"An increase in the level of Gamma-aminobutyric acid (GABA) in the blood circulation."	"Abnormal circulating GABA concentration"
<http://purl.obolibrary.org/obo/HP_0034886>	"Decreased urinary uromodulin level"	"The concentration of uromodulin (also known as Tamm Horsfall protein) in the urine, normalized for urine concentration, is below the lower limit of normal."	"Abnormal urinary uromodulin level"
<http://purl.obolibrary.org/obo/HP_0002150>	"Hypercalciuria"		"Abnormality of urine calcium concentration"
<http://purl.obolibrary.org/obo/HP_0033139>	"Elevated circulating uracil concentration"	"Concentration of uracil in the blood circulation is above the normal range."	"Abnormal circulating pyrimidine concentration"
<http://purl.obolibrary.org/obo/HP_0012269>	"Abnormal muscle glycogen content"	"Any anomaly in the amount of glycogen in muscle tissue."	"Abnormal muscle tissue metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0031438>	"Abnormal sex hormone-binding globulin level"	"A deviation from the normal concentration in the circulation of sex hormone-binding globulin, a circulating glycoprotein that transports testosterone and other steroids in the blood."	"Abnormal circulating beta globulin level"
<http://purl.obolibrary.org/obo/HP_0500229>	"Abnormal CSF glycine concentration"@en	"Any deviation from the normal concentration of glycine in the cerebrospinal fluid."	"Abnormal CSF serine family amino acid concentration"
