?term	?property	?translation_lang	?original_value	?translation
<http://purl.obolibrary.org/obo/HP_0031663>	<http://www.w3.org/2000/01/rdf-schema#label>		"Paradoxical splitting of the second heart sound"	"Division paradoxale du deuxième bruit du cœur"@fr
<http://purl.obolibrary.org/obo/HP_0030955>	<http://www.w3.org/2000/01/rdf-schema#label>		"Alcoholism"	"Alcoolisme"@fr
<http://purl.obolibrary.org/obo/HP_0000288>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the philtrum"	"Anomalie du philtrum"@fr
<http://purl.obolibrary.org/obo/HP_0031936>	<http://www.w3.org/2000/01/rdf-schema#label>		"Delayed ability to walk"	"Retard de la capacité à marcher"@fr
<http://purl.obolibrary.org/obo/HP_0030502>	<http://www.w3.org/2000/01/rdf-schema#label>		"Retinoschisis"	"Rétinoschisis"@fr
<http://purl.obolibrary.org/obo/HP_0003366>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the femoral neck or head region"	"Anomalie du col fémoral et de la région de la tête fémorale"
<http://purl.obolibrary.org/obo/HP_0004944>	<http://www.w3.org/2000/01/rdf-schema#label>		"Dilatation of the cerebral artery"	"Anévrysmes cérébraux"@fr
<http://purl.obolibrary.org/obo/HP_0031646>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fusiform aortic arch aneurysm"	"Anévrisme fusiforme de la crosse de l'aorte"@fr
<http://purl.obolibrary.org/obo/HP_0011281>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of urine catecholamine concentration"	"Anomalie de la concentration des catécolamines urinaires"
<http://purl.obolibrary.org/obo/HP_0031259>	<http://www.w3.org/2000/01/rdf-schema#label>		"Oophoritis"	"Oophorite"@fr
<http://purl.obolibrary.org/obo/HP_0012640>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of intracranial pressure"	"Anomalie de la pression intracrâniale"@fr
<http://purl.obolibrary.org/obo/HP_0100369>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia/Hypoplasia of the distal phalanx of the 3rd toe"	"Aplasie/hypoplasie de la troisième phalange du troisième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0031667>	<http://www.w3.org/2000/01/rdf-schema#label>		"Holosystolic murmur"	"Souffle holosystolique"@fr
<http://purl.obolibrary.org/obo/HP_0000599>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the frontal hairline"	"Anomalie de l'implantation frontale des cheveux"@fr
<http://purl.obolibrary.org/obo/HP_0001250>	<http://www.w3.org/2000/01/rdf-schema#label>		"Seizures"	"Epilépsie"
<http://purl.obolibrary.org/obo/HP_0100960>	<http://www.w3.org/2000/01/rdf-schema#label>		"Asymmetric ventricles"	"Ventricules asymétriques"
<http://purl.obolibrary.org/obo/HP_0025193>	<http://www.w3.org/2000/01/rdf-schema#label>		"Posterolateral diaphragmatic hernia"	"Hernie diaphragmatique postérolatérale"@fr
<http://purl.obolibrary.org/obo/HP_0007470>	<http://www.w3.org/2000/01/rdf-schema#label>		"Periarticular subcutaneous nodules"	"Nodules sous-cutanés péri-articulaires"@fr
<http://purl.obolibrary.org/obo/HP_0012097>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intracranial dermoid cyst"	"Kyste dermoïde intracrânial"@fr
<http://purl.obolibrary.org/obo/HP_0012759>	<http://www.w3.org/2000/01/rdf-schema#label>		"Neurodevelopmental abnormality"	"Anomalie du développement neurologique"@fr
<http://purl.obolibrary.org/obo/HP_0005603>	<http://www.w3.org/2000/01/rdf-schema#label>		"Numerous congenital melanocytic nevi"	"Naevii mélanocytiques multiples congénitaux"@fr
<http://purl.obolibrary.org/obo/HP_0004418>	<http://www.w3.org/2000/01/rdf-schema#label>		"Thrombophlebitis"	"Thrombophlébite"@fr
<http://purl.obolibrary.org/obo/HP_0005477>	<http://www.w3.org/2000/01/rdf-schema#label>		"Progressive sclerosis of skull base"	"Sclérose progressive de la base du crâne"@fr
<http://purl.obolibrary.org/obo/HP_0030574>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pinhole visual acuity 0.6 LogMAR"	"Acuité visuelle du sténopé 0.6 LogMAR"@fr
<http://purl.obolibrary.org/obo/HP_0032140>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased specific antibody response to vaccination"	"Diminution de la réponse des anticorps spécifiques à la vaccination"@fr
<http://purl.obolibrary.org/obo/HP_0002553>	<http://www.w3.org/2000/01/rdf-schema#label>		"Highly arched eyebrow"	"Sourcils très arqués"@fr
<http://purl.obolibrary.org/obo/HP_0011100>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intestinal atresia"	"Atrésie intestinale"@fr
<http://purl.obolibrary.org/obo/HP_0005086>	<http://www.w3.org/2000/01/rdf-schema#label>		"Knee osteoarthritis"	"Arthrose du genou"@fr
<http://purl.obolibrary.org/obo/HP_0009939>	<http://www.w3.org/2000/01/rdf-schema#label>		"Mandibular aplasia"	"Aplasie mandibulaire"@fr
<http://purl.obolibrary.org/obo/HP_0025283>	<http://www.w3.org/2000/01/rdf-schema#label>		"Tender"	"Sensible"@fr
<http://purl.obolibrary.org/obo/HP_0032215>	<http://www.w3.org/2000/01/rdf-schema#label>		"Disseminated cutaneous warts"	"Verrues cutanées disséminées"@fr
<http://purl.obolibrary.org/obo/HP_0008678>	<http://www.w3.org/2000/01/rdf-schema#label>		"Renal hypoplasia/aplasia"	"Hypoplasie/aplasie rénale"@fr
<http://purl.obolibrary.org/obo/HP_0010017>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cone-shaped epiphysis of the 1st metacarpal"	"épiphyses en forme de cône du premier métacarpe"@fr
<http://purl.obolibrary.org/obo/HP_0002286>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fair hair"	"Cheveux/poils clairs"@fr
<http://purl.obolibrary.org/obo/HP_0005967>	<http://www.w3.org/2000/01/rdf-schema#label>		"Mixed respiratory and metabolic acidosis"	"Acidose mixte respiratoire et métabolique"@fr
<http://purl.obolibrary.org/obo/HP_0010123>	<http://www.w3.org/2000/01/rdf-schema#label>		"Triangular epiphyses of the hallux"	"Épiphyses triangulaires de l'hallux"@fr
<http://purl.obolibrary.org/obo/HP_0040170>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of hair growth"	"Anomalie de la croissance des cheveux"@fr
<http://purl.obolibrary.org/obo/HP_0003542>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased serum pyruvate"	"Pyruvate sérique augmenté"@fr
<http://purl.obolibrary.org/obo/HP_0011505>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cystoid macular edema"	"Oedème maculaire cystoïde"@fr
<http://purl.obolibrary.org/obo/HP_0011477>	<http://www.w3.org/2000/01/rdf-schema#label>		"Upbeat nystagmus"	"Nystagmus ascendant"@fr
<http://purl.obolibrary.org/obo/HP_0000929>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the skull"	"Anomalie du crâne"
<http://purl.obolibrary.org/obo/HP_0012780>	<http://www.w3.org/2000/01/rdf-schema#label>		"Neoplasm of the ear"	"Tumeur de l'oreille"@fr
<http://purl.obolibrary.org/obo/HP_0008285>	<http://www.w3.org/2000/01/rdf-schema#label>		"Transient hypophosphatemia"	"Hypophosphatémie transitoire"@fr
<http://purl.obolibrary.org/obo/HP_0002574>	<http://www.w3.org/2000/01/rdf-schema#label>		"Episodic abdominal pain"	"Douleur abdominale épisodique"@fr
<http://purl.obolibrary.org/obo/HP_0009614>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bifid proximal phalanx of the thumb"	"Phalange proximale bifide du pouce"@fr
<http://purl.obolibrary.org/obo/HP_0025093>	<http://www.w3.org/2000/01/rdf-schema#label>		"Peripapillary exudate"	"Exsudat péripapillaire"@fr
<http://purl.obolibrary.org/obo/HP_3000041>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of external carotid artery"	"Anomalie de l'artère carotide externe"@fr
<http://purl.obolibrary.org/obo/HP_0500114>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal stool urobilinogen concentration"	"Concentration d'urobilinogène anormale dans les selles"@fr
<http://purl.obolibrary.org/obo/HP_0002851>	<http://www.w3.org/2000/01/rdf-schema#label>		"Elevated proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells"	"Augmentation de la proportion de cellules T CD4-/CD8-  et cellules T- alpha/bêta régulatrices"@fr
<http://purl.obolibrary.org/obo/HP_0004288>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pseudoepiphyses of hand bones"	"Pseudo-épiphyses des os de la main"@fr
<http://purl.obolibrary.org/obo/HP_0012318>	<http://www.w3.org/2000/01/rdf-schema#label>		"Occipital neuralgia"	"Névralgie occipitale"@fr
<http://purl.obolibrary.org/obo/HP_0100540>	<http://www.w3.org/2000/01/rdf-schema#label>		"Palpebral edema"	"Oedème palpébral"@fr
<http://purl.obolibrary.org/obo/HP_0005160>	<http://www.w3.org/2000/01/rdf-schema#label>		"Total anomalous pulmonary venous return"	"Retour veineux pulmonaire total anormal"@fr
<http://purl.obolibrary.org/obo/HP_0500141>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypophenylalaninemia"	"Hypophenylalaninémie"@fr
<http://purl.obolibrary.org/obo/HP_0012490>	<http://www.w3.org/2000/01/rdf-schema#label>		"Panniculitis"	"Panniculite"@fr
<http://purl.obolibrary.org/obo/HP_0002013>	<http://www.w3.org/2000/01/rdf-schema#label>		"Vomiting"	"Vomissement"@fr
<http://purl.obolibrary.org/obo/HP_0410262>	<http://www.w3.org/2000/01/rdf-schema#label>		"Lower cranial nerve dysfunction"	"Dysfonctionnement du nerf crânien inférieur"@fr
<http://purl.obolibrary.org/obo/HP_0100785>	<http://www.w3.org/2000/01/rdf-schema#label>		"Insomnia"	"Insomnie"@fr
<http://purl.obolibrary.org/obo/HP_0012732>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anorectal anomaly"	"Anomalie anorectale"@fr
<http://purl.obolibrary.org/obo/HP_0007648>	<http://www.w3.org/2000/01/rdf-schema#label>		"Punctate cataract"	"Cataracte punctiforme"@fr
<http://purl.obolibrary.org/obo/HP_0025534>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ocular melanocytosis"	"Mélanocytose oculaire"@fr
<http://purl.obolibrary.org/obo/HP_0007285>	<http://www.w3.org/2000/01/rdf-schema#label>		"Facial palsy secondary to cranial hyperostosis"	"Paralysie faciale secondaire à une hyperostose crânienne"@fr
<http://purl.obolibrary.org/obo/HP_0010330>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the phalanges of the 3rd toe"	"Anomalie des phalanges du troisième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0012356>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased mannosylation of N-linked protein glycosylation"	"Diminution de la mannosylation de la glycosylation des protéines liées aux protéines N"@fr
<http://purl.obolibrary.org/obo/HP_0009414>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fragmentation of the epiphyses of the 3rd finger"	"Fragmentation épiphysaire du majeur"@fr
<http://purl.obolibrary.org/obo/HP_0030364>	<http://www.w3.org/2000/01/rdf-schema#label>		"Secondary Caesarian section"	"Césarienne secondaire"@fr
<http://purl.obolibrary.org/obo/HP_0006315>	<http://www.w3.org/2000/01/rdf-schema#label>		"Single median maxillary incisor"	"Incisive centrale maxillaire médiane unique"
<http://purl.obolibrary.org/obo/HP_0003473>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fatigable weakness"	"Myasthénie"@fr
<http://purl.obolibrary.org/obo/HP_0012843>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hair follicle neoplasm"	"Néoplasme du follicule pileux"@fr
<http://purl.obolibrary.org/obo/HP_0032007>	<http://www.w3.org/2000/01/rdf-schema#label>		"Maceration"	"Macération"@fr
<http://purl.obolibrary.org/obo/HP_0009991>	<http://www.w3.org/2000/01/rdf-schema#label>		"Complete duplication of the distal phalanx of the 5th finger"	"Duplication complète de la phalange distale de l'auriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0005195>	<http://www.w3.org/2000/01/rdf-schema#label>		"Polyarticular arthropathy"	"Arthropathie polyarticulaire"@fr
<http://purl.obolibrary.org/obo/HP_0025464>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased reactive oxygen species production"	"Augmentation de la production d'espèces réactives de l'oxygène"@fr
<http://purl.obolibrary.org/obo/HP_0030684>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal adiponectin level"	"Taux d'adiponectine anormal"@fr
<http://purl.obolibrary.org/obo/HP_3000077>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal mandible condylar process morphology"	"Morphologie anormale du processus condylien de la mandibule"@fr
<http://purl.obolibrary.org/obo/HP_0000240>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of skull size"	"Anomalie de la taille du crâne"@fr
<http://purl.obolibrary.org/obo/HP_0002884>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hepatoblastoma"	"Hépatoblastome"@fr
<http://purl.obolibrary.org/obo/HP_0000676>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the incisor"	"Anomalie de l'incisive"@fr
<http://purl.obolibrary.org/obo/HP_0100018>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nuclear cataract"	"Cataracte nucléaire"@fr
<http://purl.obolibrary.org/obo/HP_0001012>	<http://www.w3.org/2000/01/rdf-schema#label>		"Multiple lipomas"	"Lipomes multiples"@fr
<http://purl.obolibrary.org/obo/HP_0010139>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bracket epiphysis of the distal phalanx of the hallux"	"Pont épiphysaire de la phalange distale de l'hallux"@fr
<http://purl.obolibrary.org/obo/HP_0009733>	<http://www.w3.org/2000/01/rdf-schema#label>		"Glioma"	"Gliome"@fr
<http://purl.obolibrary.org/obo/HP_0100129>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pseudoepiphysis of the proximal phalanx of the 2nd toe"	"Pseudo-épiphyse de la phalange proximale du deuxième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0004384>	<http://www.w3.org/2000/01/rdf-schema#label>		"Type I truncus arteriosus"	"Tronc artériel de type I"@fr
<http://purl.obolibrary.org/obo/HP_0030165>	<http://www.w3.org/2000/01/rdf-schema#label>		"Temporal artery tortuosity"	"Tortuosité de l'artère temporale"@fr
<http://purl.obolibrary.org/obo/HP_0008467>	<http://www.w3.org/2000/01/rdf-schema#label>		"Thoracic hemivertebrae"	"Hémivertèbre thoracique"@fr
<http://purl.obolibrary.org/obo/HP_0002726>	<http://www.w3.org/2000/01/rdf-schema#label>		"Recurrent Staphylococcus aureus infections"	"Infections à Staphylococcus aureus"@fr
<http://purl.obolibrary.org/obo/HP_0012530>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal number of dense granules"	"Nombre anormal des granules denses"@fr
<http://purl.obolibrary.org/obo/HP_0005882>	<http://www.w3.org/2000/01/rdf-schema#label>		"Dermatoglyphic variants"	"Variantes dermatoglyphiques"@fr
<http://purl.obolibrary.org/obo/HP_0009492>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fragmentation of the epiphyses of the 2nd finger"	"fragmentation épiphysaire de l'index"@fr
<http://purl.obolibrary.org/obo/HP_0100755>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of salivation"	"Anomalie de la salivation"@fr
<http://purl.obolibrary.org/obo/HP_0030732>	<http://www.w3.org/2000/01/rdf-schema#label>		"Dysplastic tricuspid valve"	"Valve tricuspide dysplasique"@fr
<http://purl.obolibrary.org/obo/HP_0031943>	<http://www.w3.org/2000/01/rdf-schema#label>		"Akathisia"	"Akathisie"@fr
<http://purl.obolibrary.org/obo/HP_0001161>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hand polydactyly"	"Polydactylie (mains)"@fr
<http://purl.obolibrary.org/obo/HP_0001686>	<http://www.w3.org/2000/01/rdf-schema#label>		"Loss of voice"	"Aphonie"@fr
<http://purl.obolibrary.org/obo/HP_0009643>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bullet-shaped distal phalanx of the thumb"	"Phalange distale du pouce en forme de balle de fusil"@fr
<http://purl.obolibrary.org/obo/HP_0009598>	<http://www.w3.org/2000/01/rdf-schema#label>		"Symphalangism of the proximal phalanx of the 2nd finger with the 2nd metacarpal"	"Symphalangisme de la phalange proximale de l'index avec le 2nd métacarpien"@fr
<http://purl.obolibrary.org/obo/HP_0031570>	<http://www.w3.org/2000/01/rdf-schema#label>		"Tessier number 0 facial cleft"	"Fente faciale de Tessier numéro 0"@fr
<http://purl.obolibrary.org/obo/HP_0012159>	<http://www.w3.org/2000/01/rdf-schema#label>		"Internal carotid artery dissection"	"Dissection de l'artère carotide interne"@fr
<http://purl.obolibrary.org/obo/HP_0001945>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fever"	"Fièvre"@fr
<http://purl.obolibrary.org/obo/HP_0008804>	<http://www.w3.org/2000/01/rdf-schema#label>		"Broad femoral head"	"Tête fémorale large"@fr
<http://purl.obolibrary.org/obo/HP_0031286>	<http://www.w3.org/2000/01/rdf-schema#label>		"Perifollicular erythema"	"Érythème périfolliculaire"@fr
<http://purl.obolibrary.org/obo/HP_0005241>	<http://www.w3.org/2000/01/rdf-schema#label>		"Total intestinal aganglionosis"	"Aganglionose digestive totale"@fr
<http://purl.obolibrary.org/obo/HP_0004987>	<http://www.w3.org/2000/01/rdf-schema#label>		"Mesomelic leg shortening"	"Raccourcissement mésomélique de la jambe"@fr
<http://purl.obolibrary.org/obo/HP_0010478>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the urachus"	"Anomalie de l'ouraque"@fr
<http://purl.obolibrary.org/obo/HP_3000036>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of head blood vessel"	"Anomalie du vaisseau sanguin de la tête"
<http://purl.obolibrary.org/obo/HP_0031666>	<http://www.w3.org/2000/01/rdf-schema#label>		"Late systolic murmur"	"Souffle systolique tardif"@fr
<http://purl.obolibrary.org/obo/HP_0030008>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cervical agenesis"	"Agénésie cervicale"@fr
<http://purl.obolibrary.org/obo/HP_0010621>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cutaneous syndactyly of toes"	"syndactylie cutanée des orteils"@fr
<http://purl.obolibrary.org/obo/HP_0025192>	<http://www.w3.org/2000/01/rdf-schema#label>		"Subtentorial periventricular white matter hyperdensity"	"Hyperdensité de la substance blanche périventriculaire sous-tentorielle"@fr
<http://purl.obolibrary.org/obo/HP_0005469>	<http://www.w3.org/2000/01/rdf-schema#label>		"Flat occiput"	"Occiput plat"@fr
<http://purl.obolibrary.org/obo/HP_0006106>	<http://www.w3.org/2000/01/rdf-schema#label>		"Absent trapezoid bone"	"Os trapézoïde absent"@fr
<http://purl.obolibrary.org/obo/HP_0005798>	<http://www.w3.org/2000/01/rdf-schema#label>		"Posterior radial head dislocation"	"Luxation postérieure congénitale de la tête du radius"@fr
<http://purl.obolibrary.org/obo/HP_0005602>	<http://www.w3.org/2000/01/rdf-schema#label>		"Progressive vitiligo"	"Vitiligo progressif"@fr
<http://purl.obolibrary.org/obo/HP_0011431>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fetal fifth finger clinodactyly"	"Clinodactylie de l'auriculaire foetal"@fr
<http://purl.obolibrary.org/obo/HP_0045057>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased levels of alpha-fetoprotein"	"Diminution des taux d'alpha-foetoprotéine"@fr
<http://purl.obolibrary.org/obo/HP_0025092>	<http://www.w3.org/2000/01/rdf-schema#label>		"Epidermal acanthosis"	"Acanthose épidermique"@fr
